drug1,drug2,interaction_description,smiles1,smiles2
Fluocinonide,Norfloxacin,The risk or severity of adverse effects can be increased when Fluocinonide is combined with Norfloxacin.,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Ciclesonide,Norfloxacin,The risk or severity of adverse effects can be increased when Ciclesonide is combined with Norfloxacin.,CC(C)C(=O)OCC(=O)C12C(CC3C1(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)OC(O2)C6CCCCC6,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Cortisone acetate,Norfloxacin,The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Norfloxacin.,CC(=O)OCC(=O)C1(CCC2C1(CC(=O)C3C2CCC4=CC(=O)CCC34C)C)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Alclometasone,Norfloxacin,The risk or severity of adverse effects can be increased when Alclometasone is combined with Norfloxacin.,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Fludrocortisone,Norfloxacin,The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Norfloxacin.,CC12CCC(=O)C=C1CCC3C2(C(CC4(C3CCC4(C(=O)CO)O)C)O)F,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Flunisolide,Norfloxacin,The risk or severity of adverse effects can be increased when Flunisolide is combined with Norfloxacin.,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Triamcinolone,Norfloxacin,The risk or severity of adverse effects can be increased when Triamcinolone is combined with Norfloxacin.,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Fluocinolone acetonide,Norfloxacin,The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Norfloxacin.,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)F)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Paramethasone,Norfloxacin,The risk or severity of adverse effects can be increased when Paramethasone is combined with Norfloxacin.,CC1CC2C3CC(C4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)F,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Prednicarbate,Norfloxacin,The risk or severity of adverse effects can be increased when Prednicarbate is combined with Norfloxacin.,CCC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)OC(=O)OCC,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Rimexolone,Norfloxacin,The risk or severity of adverse effects can be increased when Rimexolone is combined with Norfloxacin.,CCC(=O)C1(C(CC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)C)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Betamethasone,Norfloxacin,The risk or severity of adverse effects can be increased when Betamethasone is combined with Norfloxacin.,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Deflazacort,Norfloxacin,The risk or severity of adverse effects can be increased when Deflazacort is combined with Norfloxacin.,CC1=NC2(C(O1)CC3C2(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)C(=O)COC(=O)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Desonide,Norfloxacin,The risk or severity of adverse effects can be increased when Desonide is combined with Norfloxacin.,CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Amcinonide,Norfloxacin,The risk or severity of adverse effects can be increased when Amcinonide is combined with Norfloxacin.,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Estrone sulfate,Norfloxacin,The risk or severity of adverse effects can be increased when Estrone sulfate is combined with Norfloxacin.,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Equilin,Norfloxacin,The risk or severity of adverse effects can be increased when Equilin is combined with Norfloxacin.,CC12CCC3C(=CCC4=C3C=CC(=C4)O)C1CCC2=O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Ulobetasol,Norfloxacin,The risk or severity of adverse effects can be increased when Ulobetasol is combined with Norfloxacin.,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)F)C)F,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Loteprednol,Norfloxacin,The risk or severity of adverse effects can be increased when Loteprednol is combined with Norfloxacin.,CC12CC(C3C(C1CCC2(C(=O)OCCl)O)CCC4=CC(=O)C=CC34C)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Halcinonide,Norfloxacin,The risk or severity of adverse effects can be increased when Halcinonide is combined with Norfloxacin.,CC1(OC2CC3C4CCC5=CC(=O)CCC5(C4(C(CC3(C2(O1)C(=O)CCl)C)O)F)C)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Fluocortolone,Norfloxacin,The risk or severity of adverse effects can be increased when Fluocortolone is combined with Norfloxacin.,CC1CC2C3CC(C4=CC(=O)C=CC4(C3C(CC2(C1C(=O)CO)C)O)C)F,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Flurandrenolide,Norfloxacin,The risk or severity of adverse effects can be increased when Flurandrenolide is combined with Norfloxacin.,CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Budesonide,Norfloxacin,The risk or severity of adverse effects can be increased when Budesonide is combined with Norfloxacin.,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Difluocortolone,Norfloxacin,The risk or severity of adverse effects can be increased when Difluocortolone is combined with Norfloxacin.,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)F)C)F,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Medrysone,Norfloxacin,The risk or severity of adverse effects can be increased when Medrysone is combined with Norfloxacin.,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)CC4)C)O)C)C(=O)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Clocortolone,Norfloxacin,The risk or severity of adverse effects can be increased when Clocortolone is combined with Norfloxacin.,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1C(=O)CO)C)O)Cl)C)F,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Hydrocortisone,Norfloxacin,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Norfloxacin.,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Fluorometholone,Norfloxacin,The risk or severity of adverse effects can be increased when Fluorometholone is combined with Norfloxacin.,CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Clobetasone,Norfloxacin,The risk or severity of adverse effects can be increased when Clobetasone is combined with Norfloxacin.,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(=O)CC2(C1(C(=O)CCl)O)C)F)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Fenbufen,Norfloxacin,Fenbufen may increase the neuroexcitatory activities of Norfloxacin.,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Meclofenamic acid,Norfloxacin,Meclofenamic acid may increase the neuroexcitatory activities of Norfloxacin.,CC1=C(C(=C(C=C1)Cl)NC2=CC=CC=C2C(=O)O)Cl,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Lumiracoxib,Norfloxacin,Lumiracoxib may increase the neuroexcitatory activities of Norfloxacin.,CC1=CC(=C(C=C1)NC2=C(C=CC=C2Cl)F)CC(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Tolmetin,Norfloxacin,Tolmetin may increase the neuroexcitatory activities of Norfloxacin.,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Tenoxicam,Norfloxacin,Tenoxicam may increase the neuroexcitatory activities of Norfloxacin.,CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Choline magnesium trisalicylate,Norfloxacin,Choline magnesium trisalicylate may increase the neuroexcitatory activities of Norfloxacin.,C[N+](C)(C)CCO.C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].[Mg+2],CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Etoricoxib,Norfloxacin,Etoricoxib may increase the neuroexcitatory activities of Norfloxacin.,CC1=NC=C(C=C1)C2=C(C=C(C=N2)Cl)C3=CC=C(C=C3)S(=O)(=O)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Suprofen,Norfloxacin,Suprofen may increase the neuroexcitatory activities of Norfloxacin.,CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Flurbiprofen,Norfloxacin,Flurbiprofen may increase the neuroexcitatory activities of Norfloxacin.,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Indomethacin,Norfloxacin,Indomethacin may increase the neuroexcitatory activities of Norfloxacin.,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Oxyphenbutazone,Norfloxacin,Oxyphenbutazone may increase the neuroexcitatory activities of Norfloxacin.,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Icatibant,Norfloxacin,Icatibant may increase the neuroexcitatory activities of Norfloxacin.,C1CCC2C(C1)CC(N2C(=O)C3CC4=CC=CC=C4CN3C(=O)C(CO)NC(=O)C(CC5=CC=CS5)NC(=O)CNC(=O)C6CC(CN6C(=O)C7CCCN7C(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)N)O)C(=O)NC(CCCN=C(N)N)C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Alclofenac,Norfloxacin,Alclofenac may increase the neuroexcitatory activities of Norfloxacin.,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Etodolac,Norfloxacin,Etodolac may increase the neuroexcitatory activities of Norfloxacin.,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Droxicam,Norfloxacin,Droxicam may increase the neuroexcitatory activities of Norfloxacin.,CN1C2=C(C3=CC=CC=C3S1(=O)=O)OC(=O)N(C2=O)C4=CC=CC=N4,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Apremilast,Norfloxacin,Apremilast may increase the neuroexcitatory activities of Norfloxacin.,CCOC1=C(C=CC(=C1)C(CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Tolfenamic acid,Norfloxacin,Tolfenamic acid may increase the neuroexcitatory activities of Norfloxacin.,CC1=C(C=CC=C1Cl)NC2=CC=CC=C2C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Lornoxicam,Norfloxacin,Lornoxicam may increase the neuroexcitatory activities of Norfloxacin.,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Bromfenac,Norfloxacin,Bromfenac may increase the neuroexcitatory activities of Norfloxacin.,C1=CC(=C(C(=C1)C(=O)C2=CC=C(C=C2)Br)N)CC(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Propacetamol,Norfloxacin,Propacetamol may increase the neuroexcitatory activities of Norfloxacin.,CCN(CC)CC(=O)OC1=CC=C(C=C1)NC(=O)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Parecoxib,Norfloxacin,Parecoxib may increase the neuroexcitatory activities of Norfloxacin.,CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C2=C(ON=C2C3=CC=CC=C3)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Phenylbutazone,Norfloxacin,Phenylbutazone may increase the neuroexcitatory activities of Norfloxacin.,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Acemetacin,Norfloxacin,Acemetacin may increase the neuroexcitatory activities of Norfloxacin.,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Teriflunomide,Norfloxacin,Teriflunomide may increase the neuroexcitatory activities of Norfloxacin.,CC(=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Nabumetone,Norfloxacin,Nabumetone may increase the neuroexcitatory activities of Norfloxacin.,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Epirizole,Norfloxacin,Epirizole may increase the neuroexcitatory activities of Norfloxacin.,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Ketorolac,Norfloxacin,Ketorolac may increase the neuroexcitatory activities of Norfloxacin.,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Salsalate,Norfloxacin,Salsalate may increase the neuroexcitatory activities of Norfloxacin.,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Aceclofenac,Norfloxacin,Aceclofenac may increase the neuroexcitatory activities of Norfloxacin.,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Niflumic acid,Norfloxacin,Niflumic acid may increase the neuroexcitatory activities of Norfloxacin.,C1=CC(=CC(=C1)NC2=C(C=CC=N2)C(=O)O)C(F)(F)F,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Zaltoprofen,Norfloxacin,Zaltoprofen may increase the neuroexcitatory activities of Norfloxacin.,CC(C1=CC2=C(C=C1)SC3=CC=CC=C3C(=O)C2)C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Naproxen,Norfloxacin,Naproxen may increase the neuroexcitatory activities of Norfloxacin.,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Pimecrolimus,Norfloxacin,Pimecrolimus may increase the neuroexcitatory activities of Norfloxacin.,CCC1C=C(CC(CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)Cl)C)O)C)OC)OC)C)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Antipyrine,Norfloxacin,Antipyrine may increase the neuroexcitatory activities of Norfloxacin.,CC1=CC(=O)N(N1C)C2=CC=CC=C2,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Meloxicam,Norfloxacin,Meloxicam may increase the neuroexcitatory activities of Norfloxacin.,CC1=CN=C(S1)NC(=O)C2=C(C3=CC=CC=C3S(=O)(=O)N2C)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Clonixin,Norfloxacin,Clonixin may increase the neuroexcitatory activities of Norfloxacin.,CC1=C(C=CC=C1Cl)NC2=C(C=CC=N2)C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Piroxicam,Norfloxacin,Piroxicam may increase the neuroexcitatory activities of Norfloxacin.,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Fenoprofen,Norfloxacin,Fenoprofen may increase the neuroexcitatory activities of Norfloxacin.,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Oxaprozin,Norfloxacin,Oxaprozin may increase the neuroexcitatory activities of Norfloxacin.,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Salicylamide,Norfloxacin,Salicylamide may increase the neuroexcitatory activities of Norfloxacin.,C1=CC=C(C(=C1)C(=O)N)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Loxoprofen,Norfloxacin,Loxoprofen may increase the neuroexcitatory activities of Norfloxacin.,CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Zileuton,Norfloxacin,Zileuton may increase the neuroexcitatory activities of Norfloxacin.,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Floctafenine,Norfloxacin,Floctafenine may increase the neuroexcitatory activities of Norfloxacin.,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC=C(C3=NC=C2)C(F)(F)F,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Ibuprofen,Norfloxacin,Ibuprofen may increase the neuroexcitatory activities of Norfloxacin.,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Etofenamate,Norfloxacin,Etofenamate may increase the neuroexcitatory activities of Norfloxacin.,C1=CC=C(C(=C1)C(=O)OCCOCCO)NC2=CC=CC(=C2)C(F)(F)F,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Diclofenac,Norfloxacin,Diclofenac may increase the neuroexcitatory activities of Norfloxacin.,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Nepafenac,Norfloxacin,Nepafenac may increase the neuroexcitatory activities of Norfloxacin.,C1=CC=C(C=C1)C(=O)C2=CC=CC(=C2N)CC(=O)N,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Sulfasalazine,Norfloxacin,Sulfasalazine may increase the neuroexcitatory activities of Norfloxacin.,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Benzydamine,Norfloxacin,Benzydamine may increase the neuroexcitatory activities of Norfloxacin.,CN(C)CCCOC1=NN(C2=CC=CC=C21)CC3=CC=CC=C3,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Ketoprofen,Norfloxacin,Ketoprofen may increase the neuroexcitatory activities of Norfloxacin.,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Mefenamic acid,Norfloxacin,Mefenamic acid may increase the neuroexcitatory activities of Norfloxacin.,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Adapalene,Norfloxacin,Adapalene may increase the neuroexcitatory activities of Norfloxacin.,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Magnesium salicylate,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Magnesium salicylate.,C1=CC=C(C(=C1)C(=O)O)[O-].C1=CC=C(C(=C1)C(=O)O)[O-].[Mg+2],CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Quinapril,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Quinapril.,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC=CC=C3CC2C(=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Theophylline,Norfloxacin,The metabolism of Norfloxacin can be decreased when combined with Theophylline.,CN1C2=C(C(=O)N(C1=O)C)NC=N2,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Dyphylline,Norfloxacin,The metabolism of Norfloxacin can be decreased when combined with Dyphylline.,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Aminophylline,Norfloxacin,The metabolism of Norfloxacin can be decreased when combined with Aminophylline.,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Varenicline,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Varenicline.,C1C2CNCC1C3=CC4=NC=CN=C4C=C23,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Iron,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Iron.,[Fe],CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Ferric pyrophosphate,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Ferric pyrophosphate.,[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[O-]P(=O)([O-])OP(=O)([O-])[O-].[Fe+3].[Fe+3].[Fe+3].[Fe+3],CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Lanthanum carbonate,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Lanthanum carbonate.,C(=O)([O-])[O-].C(=O)([O-])[O-].C(=O)([O-])[O-].[La+3].[La+3],CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Strontium ranelate,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Strontium ranelate.,C(C1=C(SC(=C1C#N)N(CC(=O)[O-])CC(=O)[O-])C(=O)[O-])C(=O)[O-].[Sr+2].[Sr+2],CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Quinidine,Norfloxacin,Quinidine may increase the QTc-prolonging activities of Norfloxacin.,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Lopinavir,Norfloxacin,Lopinavir may increase the QTc-prolonging activities of Norfloxacin.,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Ubidecarenone,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Ubidecarenone.,CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Citalopram,Norfloxacin,Citalopram may increase the QTc-prolonging activities of Norfloxacin.,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
Amiodarone,Norfloxacin,Amiodarone may increase the QTc-prolonging activities of Norfloxacin.,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O
