Drug 1,Drug 2,Interaction Description
Phenylbutazone,Norfloxacin,Phenylbutazone may increase the neuroexcitatory activities of Norfloxacin.
Acemetacin,Norfloxacin,Acemetacin may increase the neuroexcitatory activities of Norfloxacin.
Teriflunomide,Norfloxacin,Teriflunomide may increase the neuroexcitatory activities of Norfloxacin.
Nabumetone,Norfloxacin,Nabumetone may increase the neuroexcitatory activities of Norfloxacin.
Epirizole,Norfloxacin,Epirizole may increase the neuroexcitatory activities of Norfloxacin.
Ketorolac,Norfloxacin,Ketorolac may increase the neuroexcitatory activities of Norfloxacin.
Salsalate,Norfloxacin,Salsalate may increase the neuroexcitatory activities of Norfloxacin.
Aceclofenac,Norfloxacin,Aceclofenac may increase the neuroexcitatory activities of Norfloxacin.
Niflumic acid,Norfloxacin,Niflumic acid may increase the neuroexcitatory activities of Norfloxacin.
Zaltoprofen,Norfloxacin,Zaltoprofen may increase the neuroexcitatory activities of Norfloxacin.
Naproxen,Norfloxacin,Naproxen may increase the neuroexcitatory activities of Norfloxacin.
Pimecrolimus,Norfloxacin,Pimecrolimus may increase the neuroexcitatory activities of Norfloxacin.
Antipyrine,Norfloxacin,Antipyrine may increase the neuroexcitatory activities of Norfloxacin.
Meloxicam,Norfloxacin,Meloxicam may increase the neuroexcitatory activities of Norfloxacin.
Clonixin,Norfloxacin,Clonixin may increase the neuroexcitatory activities of Norfloxacin.
Piroxicam,Norfloxacin,Piroxicam may increase the neuroexcitatory activities of Norfloxacin.
Fenoprofen,Norfloxacin,Fenoprofen may increase the neuroexcitatory activities of Norfloxacin.
Oxaprozin,Norfloxacin,Oxaprozin may increase the neuroexcitatory activities of Norfloxacin.
Salicylamide,Norfloxacin,Salicylamide may increase the neuroexcitatory activities of Norfloxacin.
Loxoprofen,Norfloxacin,Loxoprofen may increase the neuroexcitatory activities of Norfloxacin.
Zileuton,Norfloxacin,Zileuton may increase the neuroexcitatory activities of Norfloxacin.
Floctafenine,Norfloxacin,Floctafenine may increase the neuroexcitatory activities of Norfloxacin.
Ibuprofen,Norfloxacin,Ibuprofen may increase the neuroexcitatory activities of Norfloxacin.
Etofenamate,Norfloxacin,Etofenamate may increase the neuroexcitatory activities of Norfloxacin.
Diclofenac,Norfloxacin,Diclofenac may increase the neuroexcitatory activities of Norfloxacin.
Nepafenac,Norfloxacin,Nepafenac may increase the neuroexcitatory activities of Norfloxacin.
Sulfasalazine,Norfloxacin,Sulfasalazine may increase the neuroexcitatory activities of Norfloxacin.
Benzydamine,Norfloxacin,Benzydamine may increase the neuroexcitatory activities of Norfloxacin.
Ketoprofen,Norfloxacin,Ketoprofen may increase the neuroexcitatory activities of Norfloxacin.
Mefenamic acid,Norfloxacin,Mefenamic acid may increase the neuroexcitatory activities of Norfloxacin.
Adapalene,Norfloxacin,Adapalene may increase the neuroexcitatory activities of Norfloxacin.
Magnesium salicylate,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Magnesium salicylate.
Quinapril,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Quinapril.
Theophylline,Norfloxacin,The metabolism of Norfloxacin can be decreased when combined with Theophylline.
Dyphylline,Norfloxacin,The metabolism of Norfloxacin can be decreased when combined with Dyphylline.
Aminophylline,Norfloxacin,The metabolism of Norfloxacin can be decreased when combined with Aminophylline.
Varenicline,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Varenicline.
Iron sucrose,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Iron sucrose.
Iron,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Iron.
Ferric pyrophosphate,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Ferric pyrophosphate.
Lanthanum carbonate,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Lanthanum carbonate.
Strontium ranelate,Norfloxacin,The serum concentration of Norfloxacin can be decreased when it is combined with Strontium ranelate.
Quinidine,Norfloxacin,Quinidine may increase the QTc-prolonging activities of Norfloxacin.
Lopinavir,Norfloxacin,Lopinavir may increase the QTc-prolonging activities of Norfloxacin.
Ubidecarenone,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Ubidecarenone.
Citalopram,Norfloxacin,Citalopram may increase the QTc-prolonging activities of Norfloxacin.
Amiodarone,Norfloxacin,Amiodarone may increase the QTc-prolonging activities of Norfloxacin.
Clarithromycin,Norfloxacin,Clarithromycin may increase the QTc-prolonging activities of Norfloxacin.
Ziprasidone,Norfloxacin,Ziprasidone may increase the QTc-prolonging activities of Norfloxacin.
Dronedarone,Norfloxacin,Dronedarone may increase the QTc-prolonging activities of Norfloxacin.
Lumefantrine,Norfloxacin,Lumefantrine may increase the QTc-prolonging activities of Norfloxacin.
Fluoxetine,Norfloxacin,Fluoxetine may increase the QTc-prolonging activities of Norfloxacin.
Artemether,Norfloxacin,Artemether may increase the QTc-prolonging activities of Norfloxacin.
Eliglustat,Norfloxacin,Eliglustat may increase the QTc-prolonging activities of Norfloxacin.
Saquinavir,Norfloxacin,Saquinavir may increase the QTc-prolonging activities of Norfloxacin.
Lovastatin,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Lovastatin.
Dihydroergotamine,Norfloxacin,The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Norfloxacin.
Tetrabenazine,Norfloxacin,Tetrabenazine may increase the QTc-prolonging activities of Norfloxacin.
Pimozide,Norfloxacin,Pimozide may increase the QTc-prolonging activities of Norfloxacin.
Asenapine,Norfloxacin,Asenapine may increase the QTc-prolonging activities of Norfloxacin.
Quetiapine,Norfloxacin,Quetiapine may increase the QTc-prolonging activities of Norfloxacin.
Iloperidone,Norfloxacin,Iloperidone may increase the QTc-prolonging activities of Norfloxacin.
Paliperidone,Norfloxacin,Paliperidone may increase the QTc-prolonging activities of Norfloxacin.
Flupentixol,Norfloxacin,Flupentixol may increase the QTc-prolonging activities of Norfloxacin.
Zuclopenthixol,Norfloxacin,Zuclopenthixol may increase the QTc-prolonging activities of Norfloxacin.
Thioridazine,Norfloxacin,Thioridazine may increase the QTc-prolonging activities of Norfloxacin.
Lisuride,Norfloxacin,The risk or severity of adverse effects can be increased when Lisuride is combined with Norfloxacin.
Ergometrine,Norfloxacin,The risk or severity of adverse effects can be increased when Ergometrine is combined with Norfloxacin.
Methylergometrine,Norfloxacin,The risk or severity of adverse effects can be increased when Methylergometrine is combined with Norfloxacin.
Ergotamine,Norfloxacin,The risk or severity of adverse effects can be increased when Ergotamine is combined with Norfloxacin.
Pergolide,Norfloxacin,The risk or severity of adverse effects can be increased when Pergolide is combined with Norfloxacin.
Domperidone,Norfloxacin,Domperidone may increase the QTc-prolonging activities of Norfloxacin.
Dofetilide,Norfloxacin,Dofetilide may increase the QTc-prolonging activities of Norfloxacin.
Cisapride,Norfloxacin,Cisapride may increase the QTc-prolonging activities of Norfloxacin.
Telavancin,Norfloxacin,Telavancin may increase the QTc-prolonging activities of Norfloxacin.
Bedaquiline,Norfloxacin,Bedaquiline may increase the QTc-prolonging activities of Norfloxacin.
Ibutilide,Norfloxacin,Ibutilide may increase the QTc-prolonging activities of Norfloxacin.
Propafenone,Norfloxacin,Propafenone may increase the QTc-prolonging activities of Norfloxacin.
Flecainide,Norfloxacin,Flecainide may increase the QTc-prolonging activities of Norfloxacin.
Procainamide,Norfloxacin,Procainamide may increase the QTc-prolonging activities of Norfloxacin.
Escitalopram,Norfloxacin,Escitalopram may increase the QTc-prolonging activities of Norfloxacin.
Rilpivirine,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Rilpivirine.
Nicergoline,Norfloxacin,The risk or severity of adverse effects can be increased when Nicergoline is combined with Norfloxacin.
Pravastatin,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Pravastatin.
Simvastatin,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Simvastatin.
Pitavastatin,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Pitavastatin.
Fluvastatin,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Fluvastatin.
Rosuvastatin,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Rosuvastatin.
Methysergide,Norfloxacin,The risk or severity of adverse effects can be increased when Methysergide is combined with Norfloxacin.
Tolvaptan,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Tolvaptan.
Methadone,Norfloxacin,Methadone may increase the QTc-prolonging activities of Norfloxacin.
Haloperidol,Norfloxacin,Haloperidol may increase the QTc-prolonging activities of Norfloxacin.
Telithromycin,Norfloxacin,Telithromycin may increase the QTc-prolonging activities of Norfloxacin.
Erythromycin,Norfloxacin,Erythromycin may increase the QTc-prolonging activities of Norfloxacin.
Cyclosporine,Norfloxacin,The metabolism of Norfloxacin can be decreased when combined with Cyclosporine.
Clozapine,Norfloxacin,Clozapine may increase the QTc-prolonging activities of Norfloxacin.
Chlorpromazine,Norfloxacin,Chlorpromazine may increase the QTc-prolonging activities of Norfloxacin.
Promazine,Norfloxacin,Promazine may increase the QTc-prolonging activities of Norfloxacin.
Azithromycin,Norfloxacin,Azithromycin may increase the QTc-prolonging activities of Norfloxacin.
Tizanidine,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Tizanidine.
Ondansetron,Norfloxacin,Ondansetron may increase the QTc-prolonging activities of Norfloxacin.
Droperidol,Norfloxacin,Droperidol may increase the QTc-prolonging activities of Norfloxacin.
Gadobenic acid,Norfloxacin,Gadobenic acid may increase the QTc-prolonging activities of Norfloxacin.
Perflutren,Norfloxacin,Perflutren may increase the QTc-prolonging activities of Norfloxacin.
Granisetron,Norfloxacin,Granisetron may increase the QTc-prolonging activities of Norfloxacin.
Primaquine,Norfloxacin,Primaquine may increase the QTc-prolonging activities of Norfloxacin.
Dolasetron,Norfloxacin,Dolasetron may increase the QTc-prolonging activities of Norfloxacin.
Caffeine,Norfloxacin,The serum concentration of Norfloxacin can be increased when it is combined with Caffeine.
Nitrofurantoin,Norfloxacin,The therapeutic efficacy of Norfloxacin can be decreased when used in combination with Nitrofurantoin.
Tiaprofenic acid,Enoxacin,Tiaprofenic acid may increase the neuroexcitatory activities of Enoxacin.
Carprofen,Enoxacin,Carprofen may increase the neuroexcitatory activities of Enoxacin.
Cyclophosphamide,Enoxacin,Cyclophosphamide may increase the cardiotoxic activities of Enoxacin.
Paclitaxel,Enoxacin,The risk or severity of adverse effects can be increased when Paclitaxel is combined with Enoxacin.
Docetaxel,Enoxacin,The risk or severity of adverse effects can be increased when Docetaxel is combined with Enoxacin.
Cabazitaxel,Enoxacin,The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Enoxacin.
Acarbose,Enoxacin,Acarbose may increase the hypoglycemic activities of Enoxacin.
Sunitinib,Enoxacin,Sunitinib may increase the hypoglycemic activities of Enoxacin.
Prednisolone,Enoxacin,The risk or severity of adverse effects can be increased when Prednisolone is combined with Enoxacin.
Dexamethasone,Enoxacin,The risk or severity of adverse effects can be increased when Dexamethasone is combined with Enoxacin.
Prednisone,Enoxacin,The risk or severity of adverse effects can be increased when Prednisone is combined with Enoxacin.
Methylprednisolone,Enoxacin,The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Enoxacin.
Formestane,Enoxacin,The risk or severity of adverse effects can be increased when Formestane is combined with Enoxacin.
Sucralfate,Enoxacin,The serum concentration of Enoxacin can be decreased when it is combined with Sucralfate.
Mesalazine,Enoxacin,Mesalazine may increase the neuroexcitatory activities of Enoxacin.
Balsalazide,Enoxacin,Balsalazide may increase the neuroexcitatory activities of Enoxacin.
Olsalazine,Enoxacin,Olsalazine may increase the neuroexcitatory activities of Enoxacin.
Resveratrol,Enoxacin,Resveratrol may increase the neuroexcitatory activities of Enoxacin.
Masoprocol,Enoxacin,Masoprocol may increase the neuroexcitatory activities of Enoxacin.
Sulindac,Enoxacin,Sulindac may increase the neuroexcitatory activities of Enoxacin.
Pirfenidone,Enoxacin,Pirfenidone may increase the neuroexcitatory activities of Enoxacin.
Mycophenolate mofetil,Enoxacin,Mycophenolate mofetil may increase the neuroexcitatory activities of Enoxacin.
Leflunomide,Enoxacin,Leflunomide may increase the neuroexcitatory activities of Enoxacin.
Vemurafenib,Enoxacin,The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Enoxacin.
Warfarin,Enoxacin,Warfarin may increase the anticoagulant activities of Enoxacin.
Phenprocoumon,Enoxacin,Phenprocoumon may increase the anticoagulant activities of Enoxacin.
Phenindione,Enoxacin,Phenindione may increase the anticoagulant activities of Enoxacin.
Acenocoumarol,Enoxacin,Acenocoumarol may increase the anticoagulant activities of Enoxacin.
Dicoumarol,Enoxacin,Dicoumarol may increase the anticoagulant activities of Enoxacin.
Nafamostat,Enoxacin,Nafamostat may increase the neuroexcitatory activities of Enoxacin.
Rosiglitazone,Enoxacin,Rosiglitazone may increase the hypoglycemic activities of Enoxacin.
Nimesulide,Enoxacin,Nimesulide may increase the neuroexcitatory activities of Enoxacin.
Acetylsalicylic acid,Enoxacin,Acetylsalicylic acid may increase the neuroexcitatory activities of Enoxacin.
Diflunisal,Enoxacin,Diflunisal may increase the neuroexcitatory activities of Enoxacin.
Azelastine,Enoxacin,Azelastine may increase the neuroexcitatory activities of Enoxacin.
Tranilast,Enoxacin,Tranilast may increase the neuroexcitatory activities of Enoxacin.
Sulfisoxazole,Enoxacin,Sulfisoxazole may increase the hypoglycemic activities of Enoxacin.
Chlorpropamide,Enoxacin,Chlorpropamide may increase the hypoglycemic activities of Enoxacin.
Canagliflozin,Enoxacin,Canagliflozin may increase the hypoglycemic activities of Enoxacin.
Pentamidine,Enoxacin,Pentamidine may increase the hypoglycemic activities of Enoxacin.
Glipizide,Enoxacin,Glipizide may increase the hypoglycemic activities of Enoxacin.
Disopyramide,Enoxacin,Disopyramide may increase the hypoglycemic activities of Enoxacin.
Tolbutamide,Enoxacin,Tolbutamide may increase the hypoglycemic activities of Enoxacin.
Miglitol,Enoxacin,Miglitol may increase the hypoglycemic activities of Enoxacin.
Sulfamethoxazole,Enoxacin,Sulfamethoxazole may increase the hypoglycemic activities of Enoxacin.
Sitagliptin,Enoxacin,Sitagliptin may increase the hypoglycemic activities of Enoxacin.
Dapagliflozin,Enoxacin,Dapagliflozin may increase the hypoglycemic activities of Enoxacin.
Alogliptin,Enoxacin,Alogliptin may increase the hypoglycemic activities of Enoxacin.
Saxagliptin,Enoxacin,Saxagliptin may increase the hypoglycemic activities of Enoxacin.
Sulfadiazine,Enoxacin,Sulfadiazine may increase the hypoglycemic activities of Enoxacin.
Nateglinide,Enoxacin,Nateglinide may increase the hypoglycemic activities of Enoxacin.
Gliclazide,Enoxacin,Gliclazide may increase the hypoglycemic activities of Enoxacin.
Pioglitazone,Enoxacin,Pioglitazone may increase the hypoglycemic activities of Enoxacin.
Mifepristone,Enoxacin,Mifepristone may increase the hypoglycemic activities of Enoxacin.
Quinine,Enoxacin,Quinine may increase the hypoglycemic activities of Enoxacin.
Metformin,Enoxacin,Metformin may increase the hypoglycemic activities of Enoxacin.
Tolazamide,Enoxacin,Tolazamide may increase the hypoglycemic activities of Enoxacin.
Glimepiride,Enoxacin,Glimepiride may increase the hypoglycemic activities of Enoxacin.
Empagliflozin,Enoxacin,Empagliflozin may increase the hypoglycemic activities of Enoxacin.
Repaglinide,Enoxacin,Repaglinide may increase the hypoglycemic activities of Enoxacin.
Glyburide,Enoxacin,Glyburide may increase the hypoglycemic activities of Enoxacin.
Bromocriptine,Enoxacin,Bromocriptine may increase the hypoglycemic activities of Enoxacin.
Seratrodast,Enoxacin,Seratrodast may increase the neuroexcitatory activities of Enoxacin.
Chloroquine,Enoxacin,Chloroquine may increase the neuroexcitatory activities of Enoxacin.
Celecoxib,Enoxacin,Celecoxib may increase the neuroexcitatory activities of Enoxacin.
Salicylic acid,Enoxacin,Salicylic acid may increase the neuroexcitatory activities of Enoxacin.
Naftifine,Enoxacin,Naftifine may increase the neuroexcitatory activities of Enoxacin.
Fluticasone propionate,Enoxacin,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Enoxacin.
Magnesium sulfate,Enoxacin,The serum concentration of Enoxacin can be decreased when it is combined with Magnesium sulfate.
Olopatadine,Enoxacin,Olopatadine may increase the neuroexcitatory activities of Enoxacin.
Fluticasone furoate,Enoxacin,The risk or severity of adverse effects can be increased when Fluticasone furoate is combined with Enoxacin.
Prasterone,Enoxacin,The risk or severity of adverse effects can be increased when Prasterone is combined with Enoxacin.
Diflorasone,Enoxacin,The risk or severity of adverse effects can be increased when Diflorasone is combined with Enoxacin.
Flumethasone,Enoxacin,The risk or severity of adverse effects can be increased when Flumethasone is combined with Enoxacin.
Desoximetasone,Enoxacin,The risk or severity of adverse effects can be increased when Desoximetasone is combined with Enoxacin.
Mometasone,Enoxacin,The risk or severity of adverse effects can be increased when Mometasone is combined with Enoxacin.
Clobetasol propionate,Enoxacin,The risk or severity of adverse effects can be increased when Clobetasol propionate is combined with Enoxacin.
Estrone,Enoxacin,The risk or severity of adverse effects can be increased when Estrone is combined with Enoxacin.
Difluprednate,Enoxacin,The risk or severity of adverse effects can be increased when Difluprednate is combined with Enoxacin.
Fluprednidene,Enoxacin,The risk or severity of adverse effects can be increased when Fluprednidene is combined with Enoxacin.
Beclomethasone dipropionate,Enoxacin,The risk or severity of adverse effects can be increased when Beclomethasone dipropionate is combined with Enoxacin.
Tixocortol,Enoxacin,The risk or severity of adverse effects can be increased when Tixocortol is combined with Enoxacin.
Fluocinonide,Enoxacin,The risk or severity of adverse effects can be increased when Fluocinonide is combined with Enoxacin.
Ciclesonide,Enoxacin,The risk or severity of adverse effects can be increased when Ciclesonide is combined with Enoxacin.
Cortisone acetate,Enoxacin,The risk or severity of adverse effects can be increased when Cortisone acetate is combined with Enoxacin.
Alclometasone,Enoxacin,The risk or severity of adverse effects can be increased when Alclometasone is combined with Enoxacin.
Fludrocortisone,Enoxacin,The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Enoxacin.
Flunisolide,Enoxacin,The risk or severity of adverse effects can be increased when Flunisolide is combined with Enoxacin.
Triamcinolone,Enoxacin,The risk or severity of adverse effects can be increased when Triamcinolone is combined with Enoxacin.
Fluocinolone acetonide,Enoxacin,The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Enoxacin.
Paramethasone,Enoxacin,The risk or severity of adverse effects can be increased when Paramethasone is combined with Enoxacin.
Prednicarbate,Enoxacin,The risk or severity of adverse effects can be increased when Prednicarbate is combined with Enoxacin.
Rimexolone,Enoxacin,The risk or severity of adverse effects can be increased when Rimexolone is combined with Enoxacin.
Betamethasone,Enoxacin,The risk or severity of adverse effects can be increased when Betamethasone is combined with Enoxacin.
Deflazacort,Enoxacin,The risk or severity of adverse effects can be increased when Deflazacort is combined with Enoxacin.
Desonide,Enoxacin,The risk or severity of adverse effects can be increased when Desonide is combined with Enoxacin.
Amcinonide,Enoxacin,The risk or severity of adverse effects can be increased when Amcinonide is combined with Enoxacin.
Estrone sulfate,Enoxacin,The risk or severity of adverse effects can be increased when Estrone sulfate is combined with Enoxacin.
Equilin,Enoxacin,The risk or severity of adverse effects can be increased when Equilin is combined with Enoxacin.
Ulobetasol,Enoxacin,The risk or severity of adverse effects can be increased when Ulobetasol is combined with Enoxacin.
Loteprednol,Enoxacin,The risk or severity of adverse effects can be increased when Loteprednol is combined with Enoxacin.
Halcinonide,Enoxacin,The risk or severity of adverse effects can be increased when Halcinonide is combined with Enoxacin.
Fluocortolone,Enoxacin,The risk or severity of adverse effects can be increased when Fluocortolone is combined with Enoxacin.
Flurandrenolide,Enoxacin,The risk or severity of adverse effects can be increased when Flurandrenolide is combined with Enoxacin.
Budesonide,Enoxacin,The risk or severity of adverse effects can be increased when Budesonide is combined with Enoxacin.
Difluocortolone,Enoxacin,The risk or severity of adverse effects can be increased when Difluocortolone is combined with Enoxacin.
Medrysone,Enoxacin,The risk or severity of adverse effects can be increased when Medrysone is combined with Enoxacin.
Clocortolone,Enoxacin,The risk or severity of adverse effects can be increased when Clocortolone is combined with Enoxacin.
Hydrocortisone,Enoxacin,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Enoxacin.
Fluorometholone,Enoxacin,The risk or severity of adverse effects can be increased when Fluorometholone is combined with Enoxacin.
Clobetasone,Enoxacin,The risk or severity of adverse effects can be increased when Clobetasone is combined with Enoxacin.
Fenbufen,Enoxacin,Fenbufen may increase the neuroexcitatory activities of Enoxacin.
Meclofenamic acid,Enoxacin,Meclofenamic acid may increase the neuroexcitatory activities of Enoxacin.
Lumiracoxib,Enoxacin,Lumiracoxib may increase the neuroexcitatory activities of Enoxacin.
Tolmetin,Enoxacin,Tolmetin may increase the neuroexcitatory activities of Enoxacin.
Tenoxicam,Enoxacin,Tenoxicam may increase the neuroexcitatory activities of Enoxacin.
Choline magnesium trisalicylate,Enoxacin,Choline magnesium trisalicylate may increase the neuroexcitatory activities of Enoxacin.
Etoricoxib,Enoxacin,Etoricoxib may increase the neuroexcitatory activities of Enoxacin.
Suprofen,Enoxacin,Suprofen may increase the neuroexcitatory activities of Enoxacin.
Flurbiprofen,Enoxacin,Flurbiprofen may increase the neuroexcitatory activities of Enoxacin.
Indomethacin,Enoxacin,Indomethacin may increase the neuroexcitatory activities of Enoxacin.
Oxyphenbutazone,Enoxacin,Oxyphenbutazone may increase the neuroexcitatory activities of Enoxacin.
Icatibant,Enoxacin,Icatibant may increase the neuroexcitatory activities of Enoxacin.
Alclofenac,Enoxacin,Alclofenac may increase the neuroexcitatory activities of Enoxacin.
Etodolac,Enoxacin,Etodolac may increase the neuroexcitatory activities of Enoxacin.
Droxicam,Enoxacin,Droxicam may increase the neuroexcitatory activities of Enoxacin.
Apremilast,Enoxacin,Apremilast may increase the neuroexcitatory activities of Enoxacin.
Tolfenamic acid,Enoxacin,Tolfenamic acid may increase the neuroexcitatory activities of Enoxacin.
Lornoxicam,Enoxacin,Lornoxicam may increase the neuroexcitatory activities of Enoxacin.
Bromfenac,Enoxacin,Bromfenac may increase the neuroexcitatory activities of Enoxacin.
Propacetamol,Enoxacin,Propacetamol may increase the neuroexcitatory activities of Enoxacin.
Parecoxib,Enoxacin,Parecoxib may increase the neuroexcitatory activities of Enoxacin.
Phenylbutazone,Enoxacin,Phenylbutazone may increase the neuroexcitatory activities of Enoxacin.
Acemetacin,Enoxacin,Acemetacin may increase the neuroexcitatory activities of Enoxacin.
Teriflunomide,Enoxacin,Teriflunomide may increase the neuroexcitatory activities of Enoxacin.
Nabumetone,Enoxacin,Nabumetone may increase the neuroexcitatory activities of Enoxacin.
Epirizole,Enoxacin,Epirizole may increase the neuroexcitatory activities of Enoxacin.
Ketorolac,Enoxacin,Ketorolac may increase the neuroexcitatory activities of Enoxacin.
Salsalate,Enoxacin,Salsalate may increase the neuroexcitatory activities of Enoxacin.
Aceclofenac,Enoxacin,Aceclofenac may increase the neuroexcitatory activities of Enoxacin.
Niflumic acid,Enoxacin,Niflumic acid may increase the neuroexcitatory activities of Enoxacin.
Zaltoprofen,Enoxacin,Zaltoprofen may increase the neuroexcitatory activities of Enoxacin.
Naproxen,Enoxacin,Naproxen may increase the neuroexcitatory activities of Enoxacin.
Pimecrolimus,Enoxacin,Pimecrolimus may increase the neuroexcitatory activities of Enoxacin.
Antipyrine,Enoxacin,Antipyrine may increase the neuroexcitatory activities of Enoxacin.
Meloxicam,Enoxacin,Meloxicam may increase the neuroexcitatory activities of Enoxacin.
Clonixin,Enoxacin,Clonixin may increase the neuroexcitatory activities of Enoxacin.
Piroxicam,Enoxacin,Piroxicam may increase the neuroexcitatory activities of Enoxacin.
Fenoprofen,Enoxacin,Fenoprofen may increase the neuroexcitatory activities of Enoxacin.
Oxaprozin,Enoxacin,Oxaprozin may increase the neuroexcitatory activities of Enoxacin.
Salicylamide,Enoxacin,Salicylamide may increase the neuroexcitatory activities of Enoxacin.
Loxoprofen,Enoxacin,Loxoprofen may increase the neuroexcitatory activities of Enoxacin.
Zileuton,Enoxacin,Zileuton may increase the neuroexcitatory activities of Enoxacin.
Floctafenine,Enoxacin,Floctafenine may increase the neuroexcitatory activities of Enoxacin.
Ibuprofen,Enoxacin,Ibuprofen may increase the neuroexcitatory activities of Enoxacin.
Etofenamate,Enoxacin,Etofenamate may increase the neuroexcitatory activities of Enoxacin.
Diclofenac,Enoxacin,Diclofenac may increase the neuroexcitatory activities of Enoxacin.
Nepafenac,Enoxacin,Nepafenac may increase the neuroexcitatory activities of Enoxacin.
Sulfasalazine,Enoxacin,Sulfasalazine may increase the neuroexcitatory activities of Enoxacin.
Benzydamine,Enoxacin,Benzydamine may increase the neuroexcitatory activities of Enoxacin.
Ketoprofen,Enoxacin,Ketoprofen may increase the neuroexcitatory activities of Enoxacin.
Mefenamic acid,Enoxacin,Mefenamic acid may increase the neuroexcitatory activities of Enoxacin.
Adapalene,Enoxacin,Adapalene may increase the neuroexcitatory activities of Enoxacin.
Magnesium salicylate,Enoxacin,The serum concentration of Enoxacin can be decreased when it is combined with Magnesium salicylate.
Quinapril,Enoxacin,The serum concentration of Enoxacin can be decreased when it is combined with Quinapril.
Theophylline,Enoxacin,The metabolism of Enoxacin can be decreased when combined with Theophylline.
Dyphylline,Enoxacin,The metabolism of Enoxacin can be decreased when combined with Dyphylline.
Aminophylline,Enoxacin,The metabolism of Enoxacin can be decreased when combined with Aminophylline.
Varenicline,Enoxacin,The serum concentration of Enoxacin can be increased when it is combined with Varenicline.
Iron sucrose,Enoxacin,The serum concentration of Enoxacin can be decreased when it is combined with Iron sucrose.
Iron,Enoxacin,The serum concentration of Enoxacin can be decreased when it is combined with Iron.
Ferric pyrophosphate,Enoxacin,The serum concentration of Enoxacin can be decreased when it is combined with Ferric pyrophosphate.
Lanthanum carbonate,Enoxacin,The serum concentration of Enoxacin can be decreased when it is combined with Lanthanum carbonate.
Strontium ranelate,Enoxacin,The serum concentration of Enoxacin can be decreased when it is combined with Strontium ranelate.
Tiaprofenic acid,Fleroxacin,Tiaprofenic acid may increase the neuroexcitatory activities of Fleroxacin.
Carprofen,Fleroxacin,Carprofen may increase the neuroexcitatory activities of Fleroxacin.
Cyclophosphamide,Fleroxacin,Cyclophosphamide may increase the cardiotoxic activities of Fleroxacin.
Paclitaxel,Fleroxacin,The risk or severity of adverse effects can be increased when Paclitaxel is combined with Fleroxacin.
Docetaxel,Fleroxacin,The risk or severity of adverse effects can be increased when Docetaxel is combined with Fleroxacin.
Cabazitaxel,Fleroxacin,The risk or severity of adverse effects can be increased when Cabazitaxel is combined with Fleroxacin.
Acarbose,Fleroxacin,Acarbose may increase the hypoglycemic activities of Fleroxacin.
Sunitinib,Fleroxacin,Sunitinib may increase the hypoglycemic activities of Fleroxacin.
Prednisolone,Fleroxacin,The risk or severity of adverse effects can be increased when Prednisolone is combined with Fleroxacin.
Dexamethasone,Fleroxacin,The risk or severity of adverse effects can be increased when Dexamethasone is combined with Fleroxacin.
Prednisone,Fleroxacin,The risk or severity of adverse effects can be increased when Prednisone is combined with Fleroxacin.
Methylprednisolone,Fleroxacin,The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Fleroxacin.
Formestane,Fleroxacin,The risk or severity of adverse effects can be increased when Formestane is combined with Fleroxacin.
Sucralfate,Fleroxacin,The serum concentration of Fleroxacin can be decreased when it is combined with Sucralfate.
Mesalazine,Fleroxacin,Mesalazine may increase the neuroexcitatory activities of Fleroxacin.
Balsalazide,Fleroxacin,Balsalazide may increase the neuroexcitatory activities of Fleroxacin.
Olsalazine,Fleroxacin,Olsalazine may increase the neuroexcitatory activities of Fleroxacin.
Resveratrol,Fleroxacin,Resveratrol may increase the neuroexcitatory activities of Fleroxacin.
Masoprocol,Fleroxacin,Masoprocol may increase the neuroexcitatory activities of Fleroxacin.
